Alumino-magnesiotaramite,2.934,0.410,8
Aluminotaramite,8.352,1.000,1
Aluminotaramite,2.703,0.920,2
Aluminotaramite,3.098,0.680,3
Aluminotaramite,2.546,0.560,4
Aluminotaramite,2.586,0.480,5
Aluminotaramite,2.322,0.400,6
Aluminotaramite,3.386,0.390,7
Aluminotaramite,2.156,0.330,8
Aluminum,2.360,1.000,1
Aluminum,1.224,0.900,2
Aluminum,2.040,0.700,3
Alumoakermanite,2.859,1.000,1
Alumoakermanite,2.456,0.320,2
Alumoakermanite,3.075,0.250,3
Alumoakermanite,1.757,0.190,4
Alumoakermanite,1.386,0.130,5
Alumoakermanite,1.736,0.130,6
Alumoakermanite,3.712,0.130,7
Alumoakermanite,1.830,0.120,8
Alumohydrocalcite,6.250,1.000,1
Alumohydrocalcite,6.500,0.700,2
Alumohydrocalcite,3.230,0.600,3
Alumoklyuchevskite,9.040,1.000,1
Alumoklyuchevskite,9.150,0.840,2
Alumoklyuchevskite,3.781,0.370,3
Alumopharmacosiderite,7.770,1.000,1
Alumopharmacosiderite,2.739,0.600,2
Alumopharmacosiderite,4.480,0.500,3
Alumotantite,3.130,1.000,1
Alumotantite,2.880,0.600,2
Alumotantite,3.640,0.500,3
Alunite,2.890,1.000,1
Alunite,2.990,1.000,2
Alunite,2.293,0.800,3
Alunogen,4.490,1.000,1
Alunogen,4.330,0.800,2
Alunogen,4.390,0.800,3
Alunogen,13.500,0.600,4
Alunogen,3.680,0.500,5
Alunogen,3.900,0.500,6
Alunogen,3.020,0.400,7
Alvanite,4.460,1.000,1
Alvanite,8.910,0.900,2
Alvanite,7.850,0.800,3
Amakinite,2.300,1.000,1
Amakinite,1.728,0.900,2
Amakinite,2.800,0.800,3
Amarantite,8.690,1.000,1
Amarantite,11.300,1.000,2
Amarantite,3.570,0.800,3
Amblygonite,2.925,1.000,1
Amblygonite,3.151,1.000,2
Amblygonite,4.640,1.000,3
Ameghinite,3.065,1.000,1
Ameghinite,3.147,0.760,2
Ameghinite,2.548,0.290,3
Amesite,3.520,1.000,1
Amesite,7.060,1.000,2
Amesite,1.925,0.700,3
Amicite,2.722,1.000,1
Amicite,4.220,0.900,2
Amicite,3.141,0.800,3
Aminoffite,2.614,1.000,1
Aminoffite,2.840,0.900,2
Aminoffite,4.020,0.800,3
Ammonioalunite,3.023,1.000,1
Ammonioalunite,5.040,0.930,2
Ammonioalunite,2.996,0.500,3
Ammonioborite,3.090,1.000,1
Ammonioborite,3.160,1.000,2
Ammonioborite,5.700,0.600,3
Ammoniojarosite,3.100,1.000,1
Ammoniojarosite,5.100,0.600,2
Ammoniojarosite,1.990,0.400,3
Ammonioleucite,5.430,1.000,1
